Date,Open,High,Low,Close,Adj Close,Volume
2018-07-17,83.239998,83.239998,83.209999,83.220001,83.220001,2830600
2018-07-18,83.230003,83.230003,83.199997,83.209999,83.209999,972800
2018-07-19,83.209999,83.290001,83.209999,83.25,83.25,1185300
