,股價指數,外銷訂單指數,貨幣總計數 M2B,工業及服務業受僱員工淨進入率,核發建照面積,半導體設備進口值,工業生產指數,電力(企業)總用電量,製造業銷售量指數,批發、零售及餐飲業營業額(十億元),非農業部門就業人數,海關出口值,機械及電機設備進口值,勞工薪資,失業率,重貼現率,擔保放款融通利率,短期融通利率,外匯存底
,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較
1989/3/1,9.55%,33.50%,0.15%,0.51,29.66%,,,19.75%,39.81%,,0.35%,34.25%,25.22%,-20.80%,,,,,
1989/4/1,6.38%,-7.63%,-0.93%,0.27,-6.87%,,,7.18%,-4.84%,,-0.06%,0.29%,6.64%,-0.06%,,,,,
1989/5/1,12.97%,-2.15%,-7.99%,-0.18,9.58%,,,8.93%,1.91%,,0.18%,6.99%,-2.72%,2.94%,,,,,
1989/6/1,7.98%,-1.35%,-2.05%,0.66,23.04%,,,-1.59%,0.05%,,-0.01%,-16.34%,-6.69%,1.29%,,,,,
1989/7/1,-9.23%,-1.71%,1.54%,3.54,-13.99%,,,3.01%,-2.25%,,-0.04%,21.03%,9.89%,2.71%,,,,,
1989/8/1,12.90%,-5.74%,1.25%,-4.04,26.75%,,,4.72%,2.12%,,1.25%,-7.40%,-7.96%,0.97%,,,,,
1989/9/1,6.89%,3.14%,1.39%,-1.38,-11.17%,,,-5.58%,-6.23%,,-1.50%,-11.78%,-4.62%,2.78%,,,,,
1989/10/1,-3.23%,-6.00%,0.69%,1.17,-0.17%,,,-7.73%,0.38%,,-0.36%,8.41%,8.01%,-1.08%,,,,,
1989/11/1,0.54%,7.14%,0.52%,0,7.41%,,,5.67%,3.68%,,0.53%,-2.49%,0.95%,-0.01%,,,,,
1989/12/1,-14.46%,-4.71%,3.29%,0.14,0.92%,,,-7.46%,2.31%,,0.60%,-2.20%,-7.44%,8.81%,,,,,
1990/1/1,23.33%,-5.78%,6.97%,-0.32,-20.61%,,,-6.30%,-14.13%,,-0.65%,-7.47%,-19.34%,89.87%,,,,,
1990/2/1,12.22%,2.57%,-0.76%,-0.45,-11.05%,,,-6.18%,0.54%,,-0.77%,2.03%,69.72%,-49.40%,,,,,
1990/3/1,-6.34%,17.66%,-6.47%,0.4,40.24%,,,14.61%,19.29%,,0.74%,4.81%,-14.41%,-1.18%,,,,,
1990/4/1,-13.20%,-1.23%,-5.29%,0.19,-23.70%,,,6.25%,-6.04%,,-0.10%,9.03%,7.53%,0.39%,,,,,
1990/5/1,-19.44%,2.33%,-0.97%,0.38,25.00%,,,6.12%,2.39%,,0.31%,-1.16%,-11.84%,2.63%,,,,,
1990/6/1,-21.55%,-7.22%,0.05%,0.54,19.43%,,,-0.44%,0.62%,,0.38%,-2.89%,4.60%,-0.25%,,,,,
1990/7/1,-18.17%,4.46%,-1.95%,1.53,-28.82%,,,6.46%,-0.82%,,-0.10%,17.49%,16.18%,3.24%,,,,,
1990/8/1,-18.22%,-3.60%,-2.05%,-2.07,14.68%,,,-2.30%,3.30%,,1.76%,-7.34%,-18.98%,-0.74%,,,,,
1990/9/1,-21.41%,-0.43%,-0.85%,-0.39,-30.22%,,,-2.78%,-5.08%,,-1.42%,-3.00%,-5.28%,2.25%,,,,,
1990/10/1,-10.07%,6.63%,-0.28%,0.15,9.97%,,,2.64%,1.72%,,-0.21%,10.82%,21.24%,0.49%,,,,,
1990/11/1,36.20%,-0.49%,2.74%,0.17,57.58%,,,-3.00%,3.23%,,1.37%,-1.94%,-4.22%,-1.41%,,,,,
1990/12/1,10.94%,-6.41%,3.00%,0.02,-25.28%,,,-6.42%,1.11%,,-0.41%,-10.25%,-0.95%,9.45%,,,,,
1991/1/1,-10.50%,4.13%,3.24%,0.25,1.16%,,,6.62%,-4.97%,,-0.52%,13.64%,12.58%,15.20%,,,,,
1991/2/1,17.90%,-7.34%,6.84%,-1.32,-35.04%,,,-24.17%,-19.65%,,-0.29%,-21.31%,-22.99%,46.83%,,,,,
1991/3/1,2.97%,19.31%,-3.91%,0.97,1.57%,,,18.42%,29.13%,,0.07%,16.65%,23.12%,-43.74%,,,,,
1991/4/1,17.26%,-2.52%,-0.61%,0.02,90.79%,,,16.54%,1.37%,,0.36%,-0.62%,15.66%,-0.10%,,,,,
1991/5/1,6.90%,4.46%,-0.41%,0.28,-8.79%,,,-1.91%,4.82%,,0.95%,20.37%,-7.60%,4.87%,,,,,
1991/6/1,-2.05%,-2.92%,1.49%,0.13,29.29%,,,8.42%,-3.60%,,0.53%,1.01%,-1.07%,-0.26%,,,,,
1991/7/1,-10.39%,-0.39%,1.62%,2.18,29.76%,,,4.58%,4.05%,,0.15%,2.77%,11.48%,2.41%,,,,,
1991/8/1,-9.13%,1.24%,-1.74%,-1.86,-27.45%,,,-2.29%,2.95%,,0.65%,-14.08%,-17.65%,-2.48%,,,,,
1991/9/1,-2.32%,-1.15%,-0.20%,-0.52,27.95%,,,-3.12%,-1.64%,,-0.92%,11.95%,5.15%,2.61%,,,,,
1991/10/1,-2.74%,0.23%,1.02%,0.67,-6.22%,,,-3.02%,3.10%,,0.83%,-5.12%,5.55%,-1.67%,,,,,
1991/11/1,-2.03%,1.16%,0.91%,0.08,8.27%,,,-3.73%,2.30%,,0.46%,4.48%,-2.76%,-0.85%,,,,,
1991/12/1,-0.22%,-0.92%,3.09%,-0.25,0.53%,,,-1.72%,1.49%,,0.44%,-12.93%,-1.91%,11.84%,,,,,
1992/1/1,13.16%,0.54%,7.06%,-0.05,9.35%,,,-1.97%,-2.89%,,0.27%,10.98%,13.44%,75.28%,,,,,
1992/2/1,0.16%,-15.11%,4.52%,-1.07,-27.61%,,,-14.77%,-23.94%,,-0.89%,-26.34%,-24.34%,-36.05%,,,,,
1992/3/1,-2.44%,24.39%,-2.33%,0.45,39.42%,,,11.29%,29.58%,,0.44%,34.24%,25.48%,-15.74%,,,,,
1992/4/1,-7.72%,6.03%,1.15%,0.05,32.81%,,,21.70%,0.92%,,0.44%,1.54%,4.78%,-1.32%,,,,,
1992/5/1,-1.15%,-3.90%,0.31%,0.26,-17.80%,,,-5.43%,0.20%,,0.45%,-1.26%,2.80%,4.96%,,,,,
1992/6/1,2.48%,-2.49%,1.18%,0.57,25.64%,,,7.17%,-0.38%,,-0.19%,-2.77%,7.77%,-1.46%,,,,,
1992/7/1,-7.69%,0.44%,1.51%,1.53,10.74%,,,0.96%,0.70%,,0.43%,-0.15%,-1.17%,2.23%,,,,,
1992/8/1,-7.49%,-2.47%,-2.55%,-2,-28.58%,,,7.20%,-1.96%,,0.65%,7.24%,-3.89%,0.08%,,,,,
1992/9/1,-7.27%,1.72%,-0.61%,-0.44,-21.42%,,,-11.13%,-3.29%,,-0.46%,-10.37%,-11.54%,0.05%,,,,,
1992/10/1,0.91%,5.50%,-0.57%,0.41,37.97%,,,-1.59%,4.57%,,1.51%,8.69%,13.83%,-0.94%,,,,,
1992/11/1,-1.36%,-1.25%,0.49%,0.27,-9.47%,,,-2.83%,-0.66%,,0.12%,7.17%,5.69%,-0.31%,,,,,
1992/12/1,0.50%,-1.20%,1.93%,-0.07,-15.71%,,,-6.03%,5.45%,,0.43%,-14.56%,-9.38%,11.98%,,,,,
1993/1/1,-9.91%,-12.62%,6.98%,-1.02,6.86%,,,-7.52%,-19.91%,,0.36%,-1.03%,-8.34%,93.53%,,,,,
1993/2/1,17.44%,13.54%,-1.97%,0.44,-8.04%,,,-1.44%,13.16%,,-1.77%,1.01%,19.70%,-51.77%,,,,,
1993/3/1,19.58%,10.49%,0.57%,-0.1,12.20%,,,26.46%,11.03%,,-0.37%,18.09%,5.18%,-1.52%,,,,,
1993/4/1,1.24%,-6.63%,-0.16%,0.31,37.46%,,,-9.40%,-0.89%,,0.65%,-5.98%,-2.04%,0.11%,,,,,
1993/5/1,-4.40%,4.46%,-1.15%,0.02,-12.83%,,,11.65%,-0.98%,,0.75%,15.02%,3.25%,3.39%,,,,,
1993/6/1,-5.71%,-6.60%,1.32%,0.66,-1.53%,,,2.47%,-1.12%,,-0.22%,-11.60%,-6.60%,3.04%,,,,,
1993/7/1,-4.89%,2.43%,1.27%,1.34,-0.46%,,,3.15%,3.85%,,0.63%,4.32%,8.80%,-0.57%,,,,,
1993/8/1,1.05%,2.02%,-1.05%,-1.55,1.64%,,,5.92%,-1.41%,,1.59%,7.52%,-0.16%,-1.99%,,,,,
1993/9/1,-4.24%,-3.55%,-0.04%,-0.46,2.50%,,,-10.00%,-2.26%,,-0.06%,-15.64%,-7.26%,3.57%,,,,,
1993/10/1,2.82%,6.37%,1.26%,0.21,-15.15%,,,-1.32%,1.53%,,0.27%,15.46%,7.61%,-3.14%,,,,,
1993/11/1,7.08%,-1.93%,1.93%,-0.02,-0.68%,,,2.67%,-2.15%,,-0.47%,0.90%,-2.05%,-0.30%,,,,,
1993/12/1,19.68%,3.46%,4.62%,0.18,-5.38%,,,-9.85%,8.60%,,-0.11%,-8.22%,-0.35%,10.50%,,,,,
1994/1/1,19.04%,-5.71%,6.23%,-0.17,2.86%,,,5.77%,-5.26%,,1.29%,5.74%,16.98%,44.72%,,,,,
1994/2/1,-2.43%,-9.12%,4.19%,-0.6,-37.04%,,,-20.27%,-18.95%,,-2.12%,-22.48%,-26.73%,-2.19%,,,,,
1994/3/1,-9.07%,22.43%,-4.33%,0.55,68.53%,,,25.18%,33.40%,,1.87%,25.05%,24.89%,-34.11%,,,,,
1994/4/1,4.89%,-0.69%,-0.68%,-0.23,-18.98%,,,-1.37%,-0.87%,,-0.19%,5.13%,4.79%,0.49%,,,,,
1994/5/1,5.04%,-0.76%,1.11%,0.13,-8.66%,,,20.79%,-0.26%,,0.33%,13.01%,2.49%,0.81%,,,,,
1994/6/1,1.33%,-0.44%,2.13%,0.39,39.76%,,,-5.41%,1.28%,,-0.06%,-13.53%,-6.67%,2.96%,,,,,
1994/7/1,6.75%,-0.32%,3.20%,1.5,-13.51%,,,-2.43%,-1.61%,,0.82%,7.44%,7.18%,0.86%,,,,,
1994/8/1,6.21%,-1.41%,-0.88%,-1.5,-0.54%,,,8.88%,-1.59%,,1.24%,1.18%,-4.13%,-1.51%,,,,,
1994/9/1,2.50%,8.95%,-0.27%,-0.33,2.54%,,,-9.95%,2.28%,,-1.12%,-5.98%,-8.17%,1.93%,,,,,
1994/10/1,-3.91%,-0.36%,0.31%,0.38,10.99%,,,0.91%,0.51%,,1.13%,15.37%,16.69%,-2.93%,,,,,
1994/11/1,-4.89%,1.14%,-0.31%,-0.25,-1.61%,,,3.95%,3.98%,,0.55%,7.26%,10.91%,0.98%,,,,,
1994/12/1,7.39%,3.90%,2.69%,0.14,-18.38%,,,-8.29%,2.39%,,-0.01%,-14.63%,-15.69%,13.27%,,,,,
1995/1/1,-3.77%,-12.91%,4.68%,-0.65,-2.89%,,,-5.65%,-5.08%,,0.43%,-7.47%,5.49%,90.81%,,,,,
1995/2/1,-0.59%,-4.96%,0.25%,-0.16,-36.73%,,,-0.20%,-15.94%,,-0.88%,15.00%,6.33%,-51.74%,,,,,
1995/3/1,-0.95%,29.05%,-3.04%,0.59,46.90%,,,4.40%,30.09%,,-0.19%,5.93%,6.71%,-2.67%,,,,,
1995/4/1,-4.56%,-7.82%,-1.63%,-0.24,-20.11%,,,4.79%,-7.71%,,0.12%,3.91%,11.07%,-0.24%,,,,,
1995/5/1,-7.74%,7.10%,-1.59%,0.03,15.92%,,,14.81%,6.36%,,-0.06%,3.60%,-2.63%,3.98%,,,,,
1995/6/1,-3.50%,-9.60%,0.61%,0.59,19.05%,,,1.91%,-3.70%,,-0.50%,-12.99%,0.62%,-0.96%,,,,,
1995/7/1,-3.03%,7.27%,1.61%,0.52,-15.71%,,,-4.38%,-2.65%,,0.77%,19.44%,13.34%,1.65%,,,,,
1995/8/1,-10.26%,4.61%,-0.33%,-0.86,15.06%,,,5.07%,1.11%,,0.46%,0.78%,-3.02%,0.15%,,,,,
1995/9/1,4.67%,-2.18%,-0.69%,-0.63,-20.38%,,,-9.80%,-0.67%,,-0.53%,-10.27%,-14.19%,-0.32%,,,,,
1995/10/1,0.46%,0.38%,-0.40%,0.04,-16.39%,,,4.14%,-0.83%,,0.42%,19.03%,18.97%,-2.17%,,,,,
1995/11/1,-6.74%,6.33%,-0.53%,0.18,-12.97%,,,-0.17%,2.57%,,0.35%,-4.94%,3.34%,-0.26%,,,,,
1995/12/1,6.10%,-4.07%,2.02%,-0.02,-4.83%,,,-14.93%,-1.07%,,-0.20%,-6.37%,-12.05%,9.95%,,,,,
1996/1/1,-0.92%,-3.29%,1.32%,-0.12,-9.88%,,,15.01%,-0.29%,,0.34%,15.23%,25.36%,13.95%,,,,,
1996/2/1,-3.10%,-8.39%,4.10%,-0.83,-12.66%,,-16.26%,-21.36%,-16.02%,,0.56%,-29.12%,-30.46%,51.67%,,,,,
1996/3/1,2.23%,12.69%,-2.25%,0.77,18.57%,,19.67%,18.75%,21.87%,,-1.32%,19.40%,16.47%,-45.32%,,,,,
1996/4/1,19.38%,1.28%,0.00%,-0.15,-7.38%,,0.00%,3.63%,0.52%,,-0.10%,10.77%,12.11%,-1.02%,,,,,
1996/5/1,2.39%,0.79%,-1.05%,0.07,28.34%,,4.03%,4.03%,3.39%,,0.42%,-5.35%,-21.36%,0.80%,,,,,
1996/6/1,4.64%,-2.19%,1.78%,0.46,6.78%,,-2.75%,7.58%,-4.08%,,-0.58%,3.18%,13.13%,2.83%,,,,,
1996/7/1,-0.94%,0.53%,1.81%,0.96,15.04%,,2.25%,5.01%,0.19%,,0.37%,-2.24%,-0.32%,0.54%,,,,,
1996/8/1,0.48%,3.44%,-1.59%,-1.28,-2.76%,,0.46%,-6.41%,2.49%,,-0.22%,2.12%,1.56%,-1.74%,,,,,
1996/9/1,3.11%,3.53%,-0.41%,-0.06,-10.14%,,-2.47%,1.59%,-2.26%,,0.98%,0.98%,-8.43%,2.10%,,,,,
1996/10/1,1.51%,-1.78%,0.35%,0.43,12.62%,,3.98%,2.51%,4.14%,,0.47%,0.05%,10.44%,-2.24%,,,,,
1996/11/1,2.53%,-2.42%,1.05%,-0.05,-15.93%,,1.43%,-4.89%,2.44%,,0.74%,4.82%,14.94%,-0.81%,,,,,
1996/12/1,2.85%,0.98%,3.04%,-0.05,22.72%,,3.64%,-5.31%,1.89%,,0.45%,-0.17%,-15.65%,9.24%,,,,,
1997/1/1,3.68%,-2.15%,4.17%,-0.19,-14.54%,,-4.53%,5.09%,-0.74%,,-0.11%,0.58%,11.52%,59.79%,,,,,
1997/2/1,7.11%,-11.90%,5.58%,-0.4,1.53%,,-19.80%,-21.16%,-22.04%,,-1.17%,-25.15%,-19.81%,-15.39%,,,,,
1997/3/1,6.86%,20.85%,-0.89%,1.21,29.45%,,30.61%,24.59%,32.74%,,0.40%,38.31%,34.63%,-29.95%,,,,,
1997/4/1,4.16%,0.54%,-0.17%,-0.33,-12.63%,,-3.34%,3.95%,-3.45%,,0.15%,-7.65%,6.33%,0.63%,,,,,
1997/5/1,-4.22%,-0.29%,-0.84%,0.08,11.02%,,4.06%,7.28%,2.50%,,0.41%,3.90%,-17.21%,0.96%,,,,,
1997/6/1,5.62%,-0.83%,1.72%,0.04,-4.52%,,-4.61%,0.29%,-4.86%,,-0.17%,-1.16%,15.81%,1.85%,,,,,
1997/7/1,11.02%,1.28%,3.02%,0.65,12.19%,,4.40%,5.00%,4.23%,,0.41%,7.07%,6.43%,1.42%,,,,,
1997/8/1,3.53%,-2.34%,-0.51%,-1,-19.66%,,-0.86%,-4.34%,-2.07%,,0.07%,-9.09%,-10.14%,-2.81%,,,,,
1997/9/1,-7.87%,7.23%,-2.03%,-0.04,22.10%,,-0.24%,1.02%,2.56%,,0.02%,14.55%,10.63%,0.76%,,,,,
1997/10/1,-12.39%,1.44%,-2.68%,0.24,-11.16%,,6.30%,0.58%,4.32%,,0.81%,-3.88%,-3.99%,-1.84%,,,,,
1997/11/1,-3.14%,-6.10%,2.33%,-0.2,-12.56%,,-3.21%,-3.89%,-3.03%,,0.57%,17.86%,14.25%,-0.82%,,,,,
1997/12/1,5.38%,3.61%,1.47%,0.19,-2.77%,,6.82%,0.60%,7.35%,,0.49%,-2.98%,0.81%,11.81%,,,,,
1998/1/1,-3.66%,-18.94%,4.29%,-0.54,-10.30%,,-18.00%,-17.44%,-17.39%,,0.34%,-25.92%,-16.11%,99.09%,,,,,
1998/2/1,12.20%,14.70%,0.81%,0.15,-38.78%,,3.32%,11.55%,2.57%,,-0.95%,14.45%,32.88%,-51.30%,,,,,
1998/3/1,1.91%,7.29%,-2.36%,-0.1,63.77%,,12.66%,9.06%,12.68%,,0.81%,18.31%,3.43%,-5.21%,,,,,
1998/4/1,-2.13%,-0.52%,-2.02%,0.06,7.12%,,-1.71%,-3.86%,-1.55%,,0.08%,-12.58%,-13.89%,0.46%,,,,,
1998/5/1,-6.36%,2.37%,-1.68%,0.02,-22.52%,,-0.53%,12.81%,-3.72%,,0.11%,3.71%,-4.20%,2.36%,,,,,
1998/6/1,-8.34%,2.55%,0.50%,-0.07,-7.40%,,0.36%,4.38%,2.19%,,-0.55%,0.79%,3.46%,-2.32%,,,,,
1998/7/1,4.43%,-0.81%,1.18%,0.73,11.28%,,1.40%,-5.90%,0.75%,,0.24%,-1.40%,-1.57%,3.61%,,,,,
1998/8/1,-8.33%,2.23%,-2.20%,-0.64,-15.96%,,-0.54%,7.10%,0.26%,,0.14%,8.09%,11.19%,-3.12%,,,,,
1998/9/1,-5.35%,4.24%,-0.36%,-0.25,44.73%,,1.73%,-1.43%,3.33%,,-0.45%,-1.11%,5.51%,0.82%,,,,,
1998/10/1,0.79%,-0.04%,0.33%,0.21,-13.18%,,1.74%,-5.94%,0.45%,,0.45%,-11.30%,-2.61%,-1.60%,,,,,
1998/11/1,3.24%,-5.69%,2.20%,0.04,-10.39%,,-1.08%,-2.81%,-2.59%,,0.41%,16.65%,2.32%,-1.59%,,,,,
1998/12/1,-3.90%,2.68%,2.39%,0,8.55%,,2.00%,-4.04%,4.48%,,0.16%,-13.26%,-9.45%,11.60%,,,,,
1999/1/1,-8.43%,-1.68%,1.04%,0.22,111.49%,,-3.33%,-1.95%,-4.26%,,0.22%,6.84%,13.26%,24.40%,,,,,
1999/2/1,-5.37%,-11.06%,4.23%,-0.46,-39.83%,,-17.32%,-17.94%,-18.92%,2.73%,-0.01%,-22.60%,-22.43%,33.25%,,,,,
1999/3/1,12.79%,23.19%,-1.44%,0.56,73.21%,,29.65%,35.33%,34.56%,1.37%,-0.62%,40.59%,38.83%,-43.82%,,,,,
1999/4/1,10.68%,0.41%,1.18%,-0.05,-26.13%,,-0.78%,-2.90%,-1.48%,0.33%,0.37%,-12.32%,-16.79%,0.35%,,,,,
1999/5/1,1.56%,-1.51%,-0.03%,0.25,27.00%,,1.49%,6.26%,-1.30%,0.47%,0.61%,15.30%,9.64%,1.70%,,,,,
1999/6/1,7.33%,1.00%,2.45%,0.13,-6.30%,,-0.75%,5.62%,0.84%,1.54%,0.48%,-7.52%,0.00%,2.85%,,,,,
1999/7/1,-1.73%,3.57%,2.49%,0.28,-1.90%,,0.70%,-0.63%,-2.71%,2.83%,0.38%,0.19%,-1.67%,-0.26%,,,,,
1999/8/1,-3.28%,-0.44%,-1.25%,-0.7,3.95%,,-0.21%,4.46%,0.18%,-0.56%,0.23%,7.01%,7.41%,-0.31%,,,,,
1999/9/1,4.19%,-2.59%,1.02%,-0.44,-18.37%,,-7.50%,-13.43%,-4.02%,-0.80%,-0.38%,-11.57%,-13.73%,0.18%,,,,,
1999/10/1,-3.51%,8.30%,0.24%,0.77,-12.19%,,11.15%,4.37%,10.39%,-0.90%,0.56%,19.72%,47.32%,-3.08%,,,,,
1999/11/1,-0.35%,-1.66%,0.24%,-0.16,50.29%,,0.92%,5.95%,-0.57%,0.64%,0.63%,0.67%,-13.03%,-0.38%,,,,,
1999/12/1,3.25%,-3.61%,3.22%,-0.04,-14.22%,,2.30%,-10.97%,2.96%,4.56%,0.11%,-4.70%,-0.59%,14.99%,,,,,
2000/1/1,16.54%,-2.71%,5.54%,-0.16,6.49%,,-3.71%,-0.43%,-1.12%,0.79%,-0.03%,6.35%,-2.20%,56.90%,,,,,
2000/2/1,7.17%,-9.78%,4.15%,-0.36,-11.40%,,-17.71%,-6.76%,-18.95%,-3.28%,-0.96%,-25.24%,-9.24%,-21.09%,,,,,
2000/3/1,-5.59%,27.90%,-0.76%,0.5,37.32%,,30.00%,17.13%,32.64%,5.15%,0.21%,32.85%,22.11%,-27.48%,,,,,
2000/4/1,0.33%,-2.20%,0.17%,-0.07,-19.86%,,-6.17%,0.00%,-8.09%,-0.50%,0.27%,2.03%,7.53%,-0.68%,,,,,
2000/5/1,-7.44%,7.73%,-3.54%,-0.09,2.72%,,6.10%,9.49%,5.49%,3.26%,0.31%,7.52%,3.88%,0.68%,,,,,
2000/6/1,0.93%,3.84%,-0.97%,-0.01,-18.80%,,-0.34%,2.53%,0.47%,0.04%,0.23%,-5.00%,-6.47%,2.66%,,,,,
2000/7/1,-6.17%,-6.78%,-0.62%,0.48,-8.71%,,-1.41%,-2.11%,-2.49%,3.00%,0.33%,9.56%,15.39%,-0.01%,,,,,
2000/8/1,-3.29%,5.70%,-0.70%,-0.4,-6.48%,,1.63%,1.80%,0.69%,0.19%,0.31%,-5.42%,-9.48%,-2.39%,,,,,
2000/9/1,-11.00%,4.51%,-1.02%,-0.51,-25.37%,,0.21%,-1.88%,2.42%,-0.19%,-0.18%,1.85%,3.25%,1.51%,,,,,
2000/10/1,-17.43%,-3.59%,-2.44%,0.36,0.22%,,1.16%,5.04%,-0.84%,-2.28%,0.24%,5.73%,2.56%,-1.95%,,,,,
2000/11/1,-5.35%,-1.99%,0.54%,-0.19,4.23%,,-2.95%,-11.66%,-3.56%,-0.96%,0.28%,-4.39%,-7.84%,-2.05%,,,,,
2000/12/1,-8.20%,-4.93%,0.37%,-0.09,57.73%,,-0.22%,-0.52%,-2.19%,0.12%,0.08%,-2.00%,-12.46%,13.72%,,,,,
2001/1/1,7.26%,-16.30%,5.22%,-0.37,-44.54%,,-15.04%,-9.88%,-13.20%,-5.80%,-0.61%,-18.88%,-8.73%,81.61%,,0.00%,0.00%,0.00%,
2001/2/1,8.01%,4.40%,-0.24%,0.09,-19.92%,,4.66%,-0.87%,4.92%,-4.00%,-0.92%,1.53%,-0.55%,-48.76%,,-5.41%,-5.00%,0.00%,
2001/3/1,-2.94%,17.45%,-2.17%,0,31.07%,,10.97%,12.37%,12.81%,4.69%,-0.18%,15.69%,3.62%,-2.06%,,-2.86%,-2.63%,0.00%,
2001/4/1,-3.72%,-6.56%,-1.24%,-0.02,3.51%,,-8.93%,-2.85%,-9.26%,-3.47%,-0.39%,-5.81%,8.53%,-2.18%,,-2.94%,-2.70%,0.00%,
2001/5/1,-6.08%,0.69%,-1.78%,0.14,8.47%,,4.10%,7.73%,1.73%,-0.91%,-0.09%,-6.68%,-19.11%,0.76%,,-3.03%,-2.78%,0.00%,
2001/6/1,-2.09%,-2.21%,0.00%,-0.18,-25.39%,,-5.59%,7.18%,-5.48%,0.73%,0.23%,5.35%,0.30%,4.13%,,-6.25%,-5.71%,-37.66%,
2001/7/1,-11.82%,-2.34%,0.93%,0.54,-12.83%,,-0.62%,2.31%,-0.59%,1.33%,0.01%,-3.68%,3.46%,-1.33%,,-6.67%,-6.06%,-4.17%,
2001/8/1,0.97%,5.93%,0.60%,-0.39,2.51%,,6.08%,-4.40%,6.46%,2.34%,0.13%,-2.53%,-9.92%,2.22%,,0.00%,0.00%,0.00%,
2001/9/1,-12.15%,-8.00%,0.73%,-0.18,-25.66%,,-8.06%,-5.55%,-8.21%,-6.16%,-0.39%,-6.69%,-0.28%,-3.40%,,-7.14%,-6.45%,-4.35%,
2001/10/1,-4.23%,15.09%,0.50%,0.16,45.62%,,10.08%,5.62%,9.86%,5.25%,0.10%,29.76%,34.49%,0.90%,,-15.38%,-13.79%,-9.09%,
2001/11/1,14.17%,-0.37%,2.17%,0.34,-4.70%,,-3.33%,-8.76%,-0.55%,1.38%,0.32%,-11.49%,-21.70%,-3.50%,,-9.09%,-8.00%,-5.00%,
2001/12/1,21.91%,-2.04%,5.83%,0.09,22.21%,,-1.10%,-2.08%,-3.90%,3.15%,0.24%,1.34%,7.63%,10.83%,,-10.00%,-8.70%,-5.26%,
2002/1/1,8.99%,-0.35%,5.45%,-0.14,-4.20%,,3.25%,0.53%,5.81%,-3.67%,0.36%,-4.37%,-4.48%,30.40%,,-5.56%,-4.76%,-2.78%,
2002/2/1,0.19%,-10.42%,4.15%,0.11,-34.57%,,-17.67%,-18.05%,-19.02%,-7.53%,-0.26%,-17.22%,-18.10%,3.56%,,0.00%,0.00%,0.00%,
2002/3/1,5.39%,24.00%,-0.71%,0.28,36.60%,,29.57%,26.21%,31.88%,11.91%,0.02%,43.58%,58.15%,-31.43%,,0.00%,0.00%,0.00%,
2002/4/1,3.32%,1.44%,0.19%,0.01,17.45%,,0.16%,2.93%,-1.14%,-1.70%,0.23%,-5.45%,-7.07%,0.95%,,0.00%,0.00%,0.00%,
2002/5/1,-8.79%,1.64%,-0.56%,-0.02,19.28%,,4.44%,13.74%,2.12%,0.76%,0.16%,0.13%,-7.87%,0.28%,,0.00%,0.00%,0.00%,
2002/6/1,-4.90%,-6.21%,-0.33%,0.3,-25.52%,,-5.91%,-6.75%,-5.76%,0.37%,0.11%,0.71%,5.34%,0.95%,,0.00%,0.00%,0.00%,
2002/7/1,-5.21%,1.46%,0.64%,0.38,51.99%,,4.05%,7.23%,3.20%,1.97%,0.18%,-2.66%,7.08%,-0.90%,,-11.76%,-10.00%,-5.71%,
2002/8/1,-5.91%,3.55%,-0.19%,-0.56,-31.41%,,0.29%,1.09%,0.06%,-0.85%,0.05%,-1.71%,-19.02%,1.65%,,0.00%,0.00%,0.00%,
2002/9/1,-7.85%,-1.42%,-0.04%,-0.37,10.06%,,-3.10%,-5.27%,-1.97%,2.30%,-0.41%,5.55%,17.24%,0.45%,,0.00%,0.00%,0.00%,
2002/10/1,-4.26%,5.29%,-0.67%,0.2,45.39%,,4.95%,1.59%,6.31%,2.46%,0.06%,3.68%,5.93%,-5.30%,,0.00%,0.00%,0.00%,
2002/11/1,9.46%,-0.15%,0.80%,0.17,-25.91%,,-2.45%,-4.70%,-2.30%,-0.60%,0.27%,2.78%,-10.45%,-0.77%,,0.00%,0.00%,0.00%,
2002/12/1,-1.18%,-2.68%,2.02%,0.04,14.34%,,0.59%,-3.87%,0.42%,2.20%,0.30%,-0.83%,12.55%,11.82%,,-13.33%,-11.11%,-6.06%,
2003/1/1,5.82%,0.83%,4.04%,-0.32,-2.11%,,1.82%,-4.15%,2.59%,-1.94%,0.32%,-14.14%,-13.29%,75.55%,,0.00%,0.00%,0.00%,
2003/2/1,-6.22%,-14.75%,1.60%,-0.14,-52.55%,,-16.35%,-10.45%,-18.41%,-11.55%,-0.23%,-2.97%,-9.07%,-46.06%,,0.00%,0.00%,0.00%,
2003/3/1,-2.99%,19.73%,-1.73%,0.33,113.64%,,21.38%,20.77%,21.05%,11.47%,0.18%,29.64%,25.14%,-3.68%,,0.00%,0.00%,0.00%,
2003/4/1,0.02%,1.46%,0.44%,-0.17,-6.32%,,-1.07%,0.59%,-1.25%,-3.26%,0.27%,-8.42%,-7.92%,0.94%,,0.00%,0.00%,0.00%,
2003/5/1,-2.94%,1.96%,0.43%,-0.1,9.29%,,1.24%,2.58%,-0.61%,-4.93%,-0.12%,-2.82%,-14.85%,1.41%,,0.00%,0.00%,0.00%,
