,股價指數,外銷訂單指數,貨幣總計數 M2B,工業及服務業受僱員工淨進入率,核發建照面積,半導體設備進口值,工業生產指數,電力(企業)總用電量,製造業銷售量指數,批發、零售及餐飲業營業額(十億元),非農業部門就業人數,海關出口值,機械及電機設備進口值,勞工薪資,失業率,重貼現率,擔保放款融通利率,短期融通利率,外匯存底
,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較,與上期比較
1973/12/1,6.11%,,,,,,,,,,,-11.21%,,,,,,,
1974/1/1,-4.37%,,,,,,,,,,,-0.81%,,,,,,,
1974/2/1,-9.13%,,,,,,,,,,,6.81%,,,,,,,
1974/3/1,-3.88%,,,,,,,,,,,4.34%,,,,,,,
1974/4/1,1.43%,,,,,,,,,,,-4.16%,,,,,,,
1974/5/1,-11.24%,,,,,,,,,,,-6.48%,,,,,,,
1974/6/1,-2.90%,,,,,,,,,,,13.81%,,,,,,,
1974/7/1,3.53%,,,,,,,,,,,5.58%,,,,,,,
1974/8/1,-11.55%,,,,,,,,,,,-7.33%,,,,,,,
1974/9/1,-13.06%,,,,,,,,,,,-15.41%,,,,,,,
1974/10/1,-12.63%,,,,,,,,,,,1.00%,,,,,,,
1974/11/1,-18.36%,,,,,,,,,,,-6.73%,,,,,,,
1974/12/1,-2.87%,,,,,,,,,,,31.59%,,,,,,,
1975/1/1,8.37%,,,,,,,,,,,-21.94%,,,,,,,
1975/2/1,21.36%,,,,,,,,,,,-17.79%,,,,,,,
1975/3/1,-1.87%,,,,,,,,,,,33.57%,,,,,,,
1975/4/1,1.53%,,,,,,,,,,,-15.56%,,,,,,,
1975/5/1,19.17%,,,,,,,,,,,14.33%,,,,,,,
1975/6/1,22.40%,,,,,,,,,,,2.80%,,,,,,,
1975/7/1,-6.96%,,,,,,,,,,,2.19%,,,,,,,
1975/8/1,5.26%,,,,,,,,,,,-1.80%,,,,,,,
1975/9/1,-2.63%,,,,,,,,,,,-3.24%,,,,,,,
1975/10/1,-6.22%,,,,,,,,,,,9.87%,,,,,,,
1975/11/1,-6.92%,,,,,,,,,,,3.88%,,,,,,,
1975/12/1,-4.33%,,,,,,,,,,,21.57%,,,,,,,
1976/1/1,17.15%,,,,,,,,,,,-11.68%,,,,,,,
1976/2/1,3.04%,,,,,,,,,,,25.16%,,,,,,,
1976/3/1,5.09%,,,,,,,,,,,-15.06%,,,,,,,
1976/4/1,2.04%,,,,,,,,,,,13.89%,,,,,,,
1976/5/1,-7.75%,,,,,,,,,,,-3.74%,,,,,,,
1976/6/1,0.27%,,,,,,,,,,,5.84%,,,,,,,
1976/7/1,-11.35%,,,,,,,,,,,25.19%,,,,,,,
1976/8/1,-3.05%,,,,,,,,,,,-10.17%,,,,,,,
1976/9/1,-3.46%,,,,,,,,,,,-2.76%,,,,,,,
1976/10/1,-10.10%,,,,,,,,,,,-6.04%,,,,,,,
1976/11/1,7.61%,,,,,,,,,,,5.73%,,,,,,,
1976/12/1,9.09%,,,,,,,,,,,26.49%,,,,,,,
1977/1/1,18.21%,,,,,,,,,,,-29.77%,,,,,,,
1977/2/1,-4.70%,,,,,,,,,,,-4.89%,,,,,,,
1977/3/1,-8.77%,,,,,,,,,,,7.25%,,,,,,,
1977/4/1,-3.00%,,,,,,,,,,,6.14%,,,,,,,
1977/5/1,2.48%,,,,,,,,,,,19.21%,,,,,,,
1977/6/1,2.42%,,,,,,,,,,,1.23%,,,,,,,
1977/7/1,-2.65%,,,,,,,,,,,7.13%,,,,,,,
1977/8/1,2.73%,,,,,,,,,,,-5.76%,,,,,,,
1977/9/1,10.62%,,,,,,,,,,,-9.56%,,,,,,,
1977/10/1,4.80%,,,,,,,,,,,8.19%,,,,,,,
1977/11/1,3.82%,,,,,,,,,,,10.16%,,,,,,,
1977/12/1,5.39%,,,,,,,,,,,15.04%,,,,,,,
1978/1/1,9.53%,,,,,,,,,,,-19.02%,,,,,,,
1978/2/1,3.40%,,,,,,,,,,-1.39%,-16.52%,,,,,,,
1978/3/1,-2.87%,,,,,,,,,,-0.66%,23.38%,,,,,,,
1978/4/1,0.85%,,,,,,,,,,1.53%,16.23%,,,,,,,
1978/5/1,13.00%,,,,,,,,,,1.58%,16.83%,,,,,,,
1978/6/1,-1.11%,,,,,,,,,,-0.11%,-9.22%,,,,,,,
1978/7/1,7.69%,,,,,,,,,,1.45%,13.69%,,,,,,,
1978/8/1,4.70%,,,,,,,,,,3.17%,-4.13%,,,,,,,
1978/9/1,9.82%,,,,,,,,,,-1.28%,-9.80%,,,,,,,
1978/10/1,1.97%,,,,,,,,,,-0.13%,2.27%,,,,,,,
1978/11/1,-12.48%,,,,,,,,,,-0.52%,4.35%,,,,,,,
1978/12/1,-2.89%,,,,,,,,,,1.56%,8.12%,,,,,,,
1979/1/1,-7.87%,,,,,,,,,,3.89%,-15.85%,,,,,,,
1979/2/1,1.33%,,,,,,,,,,-0.36%,6.27%,,,,,,,
1979/3/1,4.12%,,,,,,,,,,-1.50%,2.08%,,,,,,,
1979/4/1,14.57%,,,,,,,,,,1.22%,8.64%,,,,,,,
1979/5/1,-5.34%,,,,,,,,,,-0.08%,-2.67%,,,,,,,
1979/6/1,-4.64%,,,,,,,,,,0.72%,16.18%,,,,,,,
1979/7/1,-6.26%,,,,,,,,,,1.34%,6.85%,,,,,,,
1979/8/1,6.31%,,,,,,,,,,0.94%,-2.03%,,,,,,,
1979/9/1,0.70%,,,,,,,,,,0.19%,2.50%,,,,,,,
1979/10/1,-3.81%,,,,,,,,,,0.25%,-3.08%,,,,,,,
1979/11/1,-5.77%,,,,,,,,,,-1.63%,-5.93%,,,,,,,
1979/12/1,0.76%,,,,,,,,,,0.89%,6.69%,,,,,,,
1980/1/1,4.74%,,,,,,,,,,3.73%,7.90%,,,,,,,
1980/2/1,0.54%,,,0.13,,,,,,,-1.43%,-11.69%,,29.64%,,,,,
1980/3/1,0.54%,,,1.1,,,,,,,-2.03%,6.03%,,-23.96%,,,,,
1980/4/1,-6.81%,,,-0.53,,,,,,,0.72%,3.70%,,1.06%,,,,,
1980/5/1,-1.92%,,,-0.4,,,,,,,1.12%,4.20%,,2.28%,,,,,
1980/6/1,-0.98%,,,0.61,,,,,,,0.48%,3.98%,,2.74%,,,,,
1980/7/1,1.58%,,,1.54,,,,,,,1.24%,-0.63%,,4.08%,,,,,
1980/8/1,9.36%,,,-1.37,,,,,,,1.58%,1.23%,,1.50%,,,,,
1980/9/1,2.32%,,,-0.65,,,,,,,-1.30%,8.72%,,2.26%,,,,,
1980/10/1,1.74%,,,-1.26,,,,,,,-0.51%,-9.06%,,1.54%,,,,,
1980/11/1,-1.54%,,,1.62,,,,,,,-0.47%,2.20%,,0.95%,,,,,
1980/12/1,-3.13%,,,0.63,,,,,,,1.94%,9.19%,,7.99%,,,,,
1981/1/1,-1.08%,,,-1.81,,,,,,,1.10%,-11.11%,,12.31%,,,,,
1981/2/1,5.44%,,,0.2,-5.88%,,,,,,-3.17%,-15.50%,,-3.40%,,,,,
1981/3/1,-4.48%,,,0.32,-4.67%,,,,,,0.17%,28.92%,,-10.48%,,,,,
1981/4/1,-1.44%,,,1.58,-10.79%,,,,,,0.53%,5.75%,,2.59%,,,,,
1981/5/1,3.29%,,,-1.72,16.96%,,,,,,1.02%,9.76%,,2.25%,,,,,
1981/6/1,3.19%,,,1.16,-4.91%,,,,,,0.78%,-5.69%,,1.10%,,,,,
1981/7/1,-3.60%,,,1.4,19.97%,,,,,,2.19%,2.17%,,2.00%,,,,,
1981/8/1,-4.45%,,,-2.51,-29.50%,,,,,,0.11%,14.33%,,1.35%,,,,,
1981/9/1,-2.05%,,,-0.43,26.30%,,,,,,-1.31%,-17.05%,,2.41%,,,,,
1981/10/1,-1.90%,,,0.89,-25.23%,,,,,,0.66%,6.68%,,-0.17%,,,,,
1981/11/1,0.58%,,,-0.67,-10.00%,,,,,,-0.26%,-5.92%,,-0.24%,,,,,
1981/12/1,4.62%,,,1.37,14.89%,,,,,,1.72%,4.02%,,6.95%,,,,,
1982/1/1,-1.10%,,,-1.41,-33.04%,,,,,,0.77%,-9.20%,,16.55%,,,,,
1982/2/1,-1.68%,,-3.22%,-0.03,-21.97%,,,-13.06%,4.04%,,-1.96%,-11.55%,,-17.91%,,,,,
1982/3/1,-5.87%,,-3.10%,1.3,56.17%,,,8.81%,14.00%,,-0.89%,21.76%,,-1.18%,,,,,
1982/4/1,-3.02%,,-1.14%,-0.71,-5.10%,,,9.05%,-1.92%,,0.17%,1.70%,,0.23%,,,,,
1982/5/1,-1.66%,,0.93%,-0.86,30.53%,,,0.00%,1.66%,,0.46%,5.89%,,1.09%,,,,,
1982/6/1,-3.16%,,2.06%,0.87,27.64%,,,15.72%,-3.51%,,-0.42%,-4.47%,,1.59%,,,,,
1982/7/1,-0.22%,,3.82%,0.65,-27.64%,,,-8.68%,1.90%,,-0.15%,8.33%,,-1.12%,,,,,
1982/8/1,-4.59%,,0.87%,-0.81,-22.01%,,,4.55%,-3.28%,,1.63%,0.04%,,-0.42%,,,,,
1982/9/1,6.41%,,0.43%,-0.28,11.99%,,,1.98%,2.38%,,0.33%,-8.21%,,2.86%,,,,,
1982/10/1,1.51%,,1.50%,-0.29,-25.70%,,,-6.98%,-2.37%,,0.58%,-4.12%,,-1.67%,,,,,
1982/11/1,0.21%,,0.42%,0.68,7.10%,,,5.42%,-0.61%,,0.29%,2.73%,,-0.40%,,,,,
1982/12/1,-6.13%,,1.26%,0.32,39.03%,,,-13.83%,13.70%,,0.95%,16.72%,,6.41%,,,,,
1983/1/1,0.90%,,3.93%,0.84,-23.68%,,,5.96%,-5.47%,,2.10%,-19.79%,,-1.19%,,,,,
1983/2/1,3.79%,,8.57%,-1.58,0.59%,,,-3.46%,-18.91%,,-3.41%,-5.93%,,6.51%,,,,,
1983/3/1,20.22%,,-4.59%,0.34,-10.67%,,,-10.31%,29.22%,,0.22%,13.88%,,-6.95%,,,,,
1983/4/1,20.75%,,-0.19%,0.2,31.70%,,,17.50%,2.13%,,0.30%,17.13%,,-0.77%,,,,,
1983/5/1,0.44%,,1.93%,0.9,-2.14%,,,6.38%,2.92%,,1.12%,2.81%,,1.93%,,,,,
1983/6/1,2.51%,,1.89%,0.11,-0.84%,,,18.00%,0.13%,,0.83%,3.33%,,2.75%,,,,,
1983/7/1,7.05%,,3.53%,5.71,-5.18%,,,-9.15%,0.86%,,0.03%,4.88%,,-2.20%,,,,,
1983/8/1,-4.70%,,-0.90%,-9.99,17.03%,,,10.07%,2.26%,,1.29%,3.51%,,1.15%,,,,,
1983/9/1,2.82%,,1.45%,2.29,-10.03%,,,-1.02%,-2.38%,,0.02%,-9.94%,,3.28%,,,,,
1983/10/1,-2.61%,,0.18%,1.54,-1.96%,,,-7.53%,-2.01%,,1.07%,-1.08%,,-2.23%,,,,,
1983/11/1,0.28%,,0.18%,0.39,2.08%,,,5.93%,5.75%,,1.64%,10.28%,,-0.45%,,,,,
1983/12/1,2.11%,,2.13%,0.29,-19.39%,,,-15.73%,3.62%,,0.47%,-2.19%,,6.57%,,,,,
1984/1/1,9.08%,,6.96%,-1.08,-0.84%,,,5.39%,2.90%,,1.79%,2.43%,,19.07%,,,,,
1984/2/1,8.95%,-11.88%,2.11%,-0.69,-44.15%,,,-8.66%,-23.02%,,-1.53%,-19.38%,,-17.72%,,,,,
1984/3/1,2.08%,21.46%,-4.14%,0.98,115.43%,,,6.03%,31.96%,,-0.77%,29.64%,,1.98%,,,,,
1984/4/1,2.04%,-1.10%,-0.83%,0.28,-3.98%,,,10.57%,-1.60%,,-0.84%,4.43%,,0.26%,,,,,
1984/5/1,3.56%,2.63%,1.01%,0.31,17.03%,,,-1.10%,4.83%,,1.09%,10.20%,,2.51%,,,,,
1984/6/1,-3.43%,-4.45%,2.32%,-0.43,-19.28%,,,15.61%,-2.73%,,0.62%,-5.61%,,0.18%,,,,,
1984/7/1,-1.11%,0.56%,1.30%,1.75,2.24%,,,-1.93%,-0.38%,,-0.07%,7.39%,,0.13%,,,,,
1984/8/1,2.02%,-1.26%,0.16%,-2.38,6.01%,,,4.92%,0.61%,,0.35%,-6.14%,,-0.73%,,,,,
1984/9/1,-3.30%,-8.53%,0.96%,-0.85,15.74%,,,-5.31%,-7.07%,,0.85%,-12.92%,,2.77%,,,,,
1984/10/1,-2.28%,2.95%,-0.63%,0.73,-5.13%,,,0.00%,0.94%,,0.26%,9.93%,,-2.02%,,,,,
1984/11/1,-4.78%,-1.36%,0.32%,-0.2,50.70%,,,-1.65%,2.94%,,0.31%,-6.42%,,0.11%,,,,,
1984/12/1,3.67%,-3.37%,1.43%,0.59,-30.71%,,,-13.09%,5.48%,,0.25%,-4.11%,,4.40%,,,,,
1985/1/1,-2.83%,6.02%,2.66%,1.51,-4.39%,,,5.02%,-4.68%,,2.06%,15.81%,,-1.36%,,,,,
1985/2/1,-4.50%,-11.96%,7.62%,-2.3,-25.02%,,,1.47%,-14.80%,,-0.75%,-23.38%,,14.92%,,,,,
1985/3/1,0.89%,24.96%,-4.82%,0.26,28.45%,,,-19.57%,20.61%,,-2.44%,6.60%,,-15.34%,,,,,
1985/4/1,-4.54%,-7.47%,-2.53%,0.05,-4.26%,,,27.03%,0.80%,,0.40%,20.85%,,0.22%,,,,,
1985/5/1,-3.04%,5.58%,-0.61%,0.07,10.59%,,,1.06%,2.18%,,0.63%,-1.27%,,0.58%,,,,,
1985/6/1,-3.27%,-7.93%,0.15%,0.14,-16.49%,,,14.39%,-5.59%,,0.34%,0.34%,,7.22%,,,,,
1985/7/1,-5.63%,1.96%,2.30%,0.5,16.28%,,,-5.52%,2.42%,,-0.39%,4.85%,,-2.42%,,,,,
1985/8/1,-1.94%,2.37%,-0.15%,-0.8,2.32%,,,5.19%,-2.02%,,-0.69%,-9.06%,,-3.82%,,,,,
1985/9/1,6.54%,-4.78%,1.20%,-0.48,-17.65%,,,-3.40%,-2.17%,,0.74%,2.54%,,2.00%,,,,,
1985/10/1,5.57%,9.88%,1.78%,0.48,32.74%,,,-6.39%,3.53%,,0.38%,1.66%,,-0.17%,,,,,
