date,CPI,Salary,M1A(期底）金額,M1B(期底),M2(期底),準備貨幣（通貨淨額）,重貼現率,基準放款利率,連鎖實質值_GDP合計_金額(新台幣百萬元),連鎖實質值_國內需求_金額(新台幣百萬元),連鎖實質值_民間消費_金額(新台幣百萬元),連鎖實質值_政府消費_金額(新台幣百萬元),連鎖實質值_資本形成_金額(新台幣百萬元),連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),連鎖實質值_商品與服務輸入_金額(新台幣百萬元),道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC),深圳成指(SZSC1),日經指數(N225), 摩台指 ,美元指數(DXM8), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),半導體設備進口值(新台幣百萬元),工業生產指數(Index 2016=100),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),批發、零售及餐飲業營業額(十億元),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數,預測台股指數漲跌
2001/2/1,-0.003,-0.4876,-0.0539,-0.0271,0.0011,-0.177,-0.0541,-0.0078,0,0,0,0,0,0,0,0,0.0086,-0.078,-0.0224,-0.0639,0,-0.0331,0,0,-0.0618,-0.0134,0.0132,-0.0095,-0.0105,0.3082,-0.163,-0.67,-0.4454,0,-0.1504,-0.0988,-0.132,-0.058,-0.0061,-0.1888,-0.0873,0.0245,0.0801,持平
2001/3/1,-0.0001,-0.0206,-0.0139,-0.0029,0.0008,-0.0404,-0.0571,-0.0017,0,0,0,0,0,0,0,0,-0.0643,-0.189,-0.0918,0.0416,0,-0.042,0,0,-0.0663,0.0019,-0.0801,-0.042,0.0089,-0.024,0.044,-0.58,-0.1992,0,0.0466,-0.0087,0.0492,-0.04,-0.0092,0.0153,-0.0055,0.1134,-0.0294,持平
2001/4/1,-0.0034,-0.0218,-0.027,-0.0296,-0.0077,-0.0267,-0.0303,-0.0033,-0.0206,-0.019,0.006,-0.0092,-0.0833,-0.037,-0.0431,-0.0416,0.0152,-0.0265,0.0034,0.0482,0,0.0553,0,0,-0.027,-0.0046,0.0128,0.0504,0.01,-0.3596,0.1745,-0.58,0.3107,0,0.1097,0.1237,0.1281,0.0469,-0.0018,0.1569,0.0362,0.0429,-0.0372,下降
2001/5/1,-0.0007,0.0076,-0.0235,-0.0219,-0.0003,-0.0233,-0.0625,-0.0013,0,0,0,0,0,0,0,0,0.0753,0.1278,0.0677,0.0237,0,0.042,0,0,0.1074,0.0421,0.0385,0.048,0.0082,-0.2231,-0.0656,-0.6,0.0351,0,-0.0893,-0.0285,-0.0926,-0.0347,-0.0039,-0.0581,0.0853,0.018,-0.0608,持平
2001/6/1,-0.0016,0.0413,0.0671,0.0514,0.0174,0.0217,-0.0667,0,0,0,0,0,0,0,0,0,-0.0216,-0.0317,-0.0249,0.013,0,-0.0716,0,0,-0.0306,-0.0039,-0.0383,-0.0213,0.0337,-0.1535,0.0069,-0.46,0.0847,0,0.041,0.0773,0.0173,-0.0091,-0.0009,-0.0668,-0.1911,0.0657,-0.0209,下降
2001/7/1,0.0032,-0.0133,-0.0026,-0.0169,-0.0015,-0.0214,0,-0.0011,-0.0136,-0.0215,0.0032,-0.0058,-0.0956,-0.1378,-0.0559,-0.0765,-0.03,-0.037,-0.0277,-0.0341,0,-0.0635,0,0,-0.0603,-0.0128,-0.0405,-0.0102,0.0137,-0.055,-0.0221,-0.64,-0.2539,0,-0.0559,0.0718,-0.0548,0.0073,0.0023,0.0535,0.003,0.0687,-0.1182,持平
2001/8/1,0.0003,0.0222,-0.0336,-0.0004,0.0035,-0.006,-0.0714,-0.0013,0,0,0,0,0,0,0,0,-0.0124,-0.0513,-0.0215,-0.1073,0,-0.0473,0,0,0.0103,0.0201,0.0318,-0.0457,-0.0048,0.3119,-0.0234,-0.1,-0.1283,0,-0.0062,0.0231,-0.0059,0.0133,0.0001,-0.0368,0.0346,0.0909,0.0097,下降
2001/9/1,0.0031,-0.034,0.016,0.0159,0.0007,0.0349,-0.1538,-0.0055,0,0,0,0,0,0,0,0,-0.1233,-0.1847,-0.1136,-0.0475,0,-0.1364,0,0,-0.2518,0.0413,-0.0507,-0.0455,-0.0007,-0.466,0.0593,-0.49,0.0251,0,0.0608,-0.044,0.0646,0.0234,0.0013,-0.0253,-0.0992,0.0508,-0.1215,下降
2001/10/1,0.0046,0.009,-0.029,-0.0014,-0.0023,-0.0346,-0.0909,-0.0027,0.0336,0.0029,0.0149,0.0365,-0.0575,-0.1728,0.0953,0.0323,0.0197,0.0528,0.0306,-0.0835,0,0.0442,0,0,-0.0193,-0.0028,-0.1432,-0.0415,-0.0008,0.6166,-0.08,-0.67,-0.2566,0,-0.0806,-0.0555,-0.0821,-0.0616,-0.0039,-0.0669,-0.0028,0.0174,-0.0423,上升
2001/11/1,-0.0032,-0.035,0.0001,0.0286,0.0018,0.0037,-0.1,-0.0173,0,0,0,0,0,0,0,0,0.0543,0.129,0.0493,0.0051,0,0.0069,0,0,0.1947,-0.0256,-0.1146,0.0149,-0.0025,0.8907,0.1509,-0.51,0.4562,0,0.1008,0.0562,0.0986,0.0525,0.001,0.2976,0.3449,0.0133,0.1417,上升
